Cabin_Tratada;Survived
SI;NÃO
C;SIM
SI;SIM
C;SIM
SI;NÃO
SI;NÃO
E;NÃO
SI;NÃO
SI;SIM
SI;SIM
G;SIM
C;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;SIM
SI;NÃO
SI;SIM
SI;NÃO
SI;SIM
SI;NÃO
D;SIM
SI;SIM
A;SIM
SI;NÃO
SI;SIM
SI;NÃO
C;NÃO
SI;SIM
SI;NÃO
SI;NÃO
B;SIM
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;SIM
SI;NÃO
SI;NÃO
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;SIM
SI;SIM
SI;NÃO
SI;NÃO
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
D;SIM
SI;SIM
B;NÃO
C;SIM
SI;SIM
SI;NÃO
SI;SIM
SI;NÃO
SI;NÃO
B;SIM
C;NÃO
SI;NÃO
SI;NÃO
SI;SIM
F;SIM
SI;NÃO
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;SIM
F;NÃO
SI;NÃO
SI;NÃO
SI;SIM
SI;SIM
SI;NÃO
SI;SIM
SI;SIM
SI;NÃO
SI;SIM
SI;SIM
SI;NÃO
SI;NÃO
C;SIM
SI;NÃO
SI;NÃO
SI;NÃO
E;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
A;NÃO
D;SIM
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
D;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;SIM
SI;SIM
SI;NÃO
SI;SIM
C;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
B;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
E;SIM
D;NÃO
SI;SIM
SI;NÃO
SI;SIM
F;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;SIM
SI;NÃO
SI;NÃO
D;SIM
C;NÃO
SI;NÃO
B;NÃO
SI;NÃO
SI;SIM
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;SIM
SI;NÃO
F;NÃO
SI;NÃO
SI;NÃO
C;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;SIM
E;SIM
SI;NÃO
SI;NÃO
SI;NÃO
B;NÃO
SI;NÃO
SI;SIM
SI;NÃO
A;NÃO
SI;NÃO
SI;NÃO
C;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
F;SIM
SI;SIM
A;NÃO
SI;SIM
SI;SIM
SI;NÃO
SI;NÃO
SI;SIM
SI;NÃO
SI;SIM
F;SIM
B;SIM
B;SIM
SI;NÃO
SI;NÃO
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;SIM
G;NÃO
SI;NÃO
SI;SIM
SI;SIM
A;SIM
SI;NÃO
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
D;SIM
SI;SIM
SI;NÃO
D;SIM
SI;NÃO
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
C;SIM
SI;NÃO
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
C;SIM
SI;NÃO
SI;NÃO
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
C;NÃO
SI;NÃO
SI;SIM
D;SIM
SI;NÃO
SI;NÃO
G;NÃO
C;NÃO
SI;NÃO
SI;NÃO
SI;SIM
SI;SIM
B;SIM
SI;SIM
SI;SIM
SI;NÃO
SI;SIM
E;NÃO
B;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;SIM
C;SIM
C;SIM
SI;NÃO
SI;SIM
SI;SIM
C;NÃO
SI;SIM
D;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;SIM
A;NÃO
SI;NÃO
SI;SIM
SI;NÃO
SI;SIM
SI;SIM
SI;SIM
B;SIM
D;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
C;NÃO
C;SIM
B;SIM
SI;SIM
SI;SIM
SI;NÃO
E;SIM
SI;NÃO
C;SIM
SI;SIM
C;SIM
SI;NÃO
E;SIM
C;SIM
B;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;SIM
SI;SIM
SI;NÃO
C;SIM
E;SIM
SI;NÃO
SI;NÃO
SI;SIM
SI;SIM
SI;NÃO
C;SIM
SI;NÃO
D;SIM
SI;SIM
B;SIM
SI;SIM
C;NÃO
C;NÃO
SI;NÃO
SI;SIM
SI;NÃO
C;NÃO
E;SIM
SI;SIM
T;NÃO
F;SIM
C;SIM
SI;NÃO
SI;NÃO
SI;NÃO
F;SIM
SI;SIM
SI;SIM
SI;SIM
SI;NÃO
SI;NÃO
C;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
E;SIM
SI;NÃO
SI;SIM
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
D;SIM
SI;SIM
SI;SIM
B;SIM
E;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;SIM
SI;SIM
C;NÃO
SI;NÃO
SI;NÃO
SI;SIM
SI;SIM
SI;NÃO
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;SIM
SI;NÃO
SI;SIM
B;SIM
SI;SIM
SI;NÃO
D;SIM
G;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;SIM
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
C;SIM
SI;NÃO
SI;SIM
SI;NÃO
SI;SIM
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;SIM
SI;SIM
SI;NÃO
E;SIM
C;SIM
SI;SIM
SI;SIM
SI;NÃO
E;NÃO
B;SIM
SI;NÃO
SI;SIM
C;NÃO
SI;NÃO
SI;SIM
SI;NÃO
SI;NÃO
SI;SIM
SI;SIM
A;SIM
SI;SIM
SI;SIM
SI;SIM
C;SIM
SI;NÃO
SI;NÃO
C;NÃO
C;SIM
SI;NÃO
SI;SIM
E;NÃO
D;SIM
SI;SIM
SI;NÃO
E;SIM
SI;NÃO
E;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;SIM
SI;NÃO
SI;NÃO
SI;SIM
D;SIM
SI;NÃO
A;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;SIM
B;SIM
SI;NÃO
C;SIM
B;NÃO
SI;NÃO
SI;SIM
SI;NÃO
SI;NÃO
C;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
D;SIM
SI;NÃO
C;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
B;SIM
C;NÃO
SI;SIM
SI;SIM
SI;NÃO
SI;SIM
SI;SIM
SI;NÃO
E;SIM
SI;SIM
SI;NÃO
D;NÃO
F;SIM
SI;NÃO
SI;SIM
SI;NÃO
B;SIM
SI;NÃO
SI;NÃO
B;SIM
SI;NÃO
SI;NÃO
SI;SIM
C;NÃO
SI;NÃO
SI;NÃO
SI;SIM
SI;NÃO
SI;NÃO
SI;SIM
SI;NÃO
SI;SIM
B;NÃO
SI;SIM
SI;NÃO
B;SIM
B;SIM
SI;NÃO
SI;NÃO
SI;SIM
C;NÃO
SI;NÃO
SI;SIM
SI;SIM
SI;NÃO
SI;SIM
C;SIM
SI;NÃO
SI;NÃO
SI;SIM
SI;SIM
SI;NÃO
A;SIM
SI;NÃO
E;SIM
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;SIM
SI;SIM
C;SIM
E;SIM
SI;SIM
SI;NÃO
SI;NÃO
SI;SIM
E;SIM
SI;NÃO
SI;SIM
SI;SIM
C;SIM
SI;NÃO
A;NÃO
SI;NÃO
E;SIM
SI;NÃO
B;SIM
SI;NÃO
SI;NÃO
SI;NÃO
D;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;SIM
SI;NÃO
SI;NÃO
A;SIM
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;SIM
SI;NÃO
SI;NÃO
SI;SIM
SI;SIM
C;SIM
SI;NÃO
SI;NÃO
SI;SIM
SI;NÃO
SI;NÃO
SI;SIM
SI;NÃO
SI;NÃO
F;SIM
SI;NÃO
SI;NÃO
D;SIM
SI;SIM
SI;NÃO
SI;NÃO
D;NÃO
SI;NÃO
D;SIM
SI;NÃO
SI;NÃO
A;SIM
SI;NÃO
B;SIM
SI;NÃO
SI;NÃO
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
B;SIM
SI;NÃO
SI;SIM
SI;SIM
D;SIM
SI;NÃO
A;SIM
SI;NÃO
SI;SIM
SI;NÃO
SI;SIM
SI;NÃO
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
D;NÃO
SI;SIM
SI;NÃO
E;NÃO
SI;NÃO
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
C;SIM
SI;SIM
B;NÃO
SI;NÃO
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;SIM
SI;NÃO
B;SIM
SI;NÃO
D;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
B;SIM
B;SIM
SI;SIM
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;SIM
C;NÃO
F;NÃO
C;SIM
E;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;SIM
E;SIM
SI;SIM
SI;SIM
C;SIM
C;NÃO
C;SIM
SI;NÃO
SI;NÃO
F;NÃO
C;SIM
E;SIM
SI;NÃO
SI;NÃO
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
E;SIM
SI;NÃO
SI;SIM
SI;SIM
SI;NÃO
SI;NÃO
B;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
B;SIM
SI;NÃO
SI;NÃO
D;SIM
C;NÃO
B;SIM
SI;NÃO
SI;SIM
B;NÃO
SI;NÃO
SI;SIM
D;NÃO
SI;NÃO
SI;SIM
E;SIM
SI;NÃO
SI;NÃO
SI;SIM
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
B;SIM
SI;NÃO
SI;NÃO
SI;SIM
B;SIM
SI;NÃO
D;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
E;NÃO
SI;NÃO
SI;SIM
SI;NÃO
F;NÃO
SI;SIM
SI;NÃO
B;SIM
SI;SIM
B;SIM
D;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;SIM
SI;NÃO
SI;SIM
B;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
D;SIM
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;SIM
B;SIM
SI;SIM
SI;SIM
SI;NÃO
A;NÃO
SI;NÃO
SI;NÃO
E;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
B;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
B;SIM
SI;SIM
SI;NÃO
E;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;SIM
SI;SIM
B;SIM
SI;SIM
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
E;SIM
SI;NÃO
SI;NÃO
SI;SIM
C;SIM
SI;NÃO
SI;NÃO
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
C;SIM
SI;NÃO
SI;NÃO
SI;NÃO
D;SIM
SI;NÃO
SI;SIM
SI;SIM
E;SIM
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
D;SIM
SI;NÃO
SI;NÃO
SI;SIM
SI;SIM
A;NÃO
SI;NÃO
SI;SIM
SI;NÃO
D;SIM
B;NÃO
SI;NÃO
SI;SIM
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
C;SIM
SI;SIM
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
SI;NÃO
B;SIM
SI;NÃO
C;SIM
SI;NÃO
