FamilySize;Survived
2;NÃO
2;SIM
1;SIM
2;SIM
1;NÃO
1;NÃO
1;NÃO
5;NÃO
3;SIM
2;SIM
3;SIM
1;SIM
1;NÃO
7;NÃO
1;NÃO
1;SIM
6;NÃO
1;SIM
2;NÃO
1;SIM
1;NÃO
1;SIM
1;SIM
1;SIM
5;NÃO
7;SIM
1;NÃO
6;NÃO
1;SIM
1;NÃO
1;NÃO
2;SIM
1;SIM
1;NÃO
2;NÃO
2;NÃO
1;SIM
1;NÃO
3;NÃO
2;SIM
2;NÃO
2;NÃO
1;NÃO
4;SIM
1;SIM
1;NÃO
2;NÃO
1;SIM
3;NÃO
2;NÃO
6;NÃO
1;NÃO
2;SIM
2;SIM
2;NÃO
1;SIM
1;SIM
1;NÃO
4;SIM
8;NÃO
1;NÃO
1;SIM
2;NÃO
6;NÃO
1;NÃO
3;SIM
1;SIM
1;NÃO
7;SIM
3;NÃO
1;NÃO
8;NÃO
1;NÃO
2;NÃO
1;SIM
1;NÃO
1;NÃO
1;NÃO
3;SIM
1;SIM
1;NÃO
1;SIM
1;SIM
1;NÃO
1;SIM
4;SIM
5;NÃO
1;NÃO
6;SIM
1;NÃO
1;NÃO
1;NÃO
2;NÃO
4;NÃO
1;NÃO
1;NÃO
1;NÃO
2;SIM
2;SIM
2;NÃO
1;NÃO
1;NÃO
2;NÃO
1;NÃO
3;NÃO
1;NÃO
1;SIM
1;SIM
1;NÃO
2;SIM
1;NÃO
2;NÃO
1;NÃO
2;NÃO
1;NÃO
1;NÃO
1;NÃO
2;NÃO
2;NÃO
7;NÃO
3;NÃO
1;NÃO
2;NÃO
1;SIM
2;NÃO
2;SIM
1;NÃO
1;SIM
3;SIM
1;NÃO
1;NÃO
1;NÃO
2;NÃO
2;SIM
1;NÃO
1;NÃO
3;SIM
2;NÃO
1;NÃO
1;NÃO
3;NÃO
1;SIM
2;SIM
1;NÃO
1;NÃO
3;NÃO
1;SIM
5;NÃO
3;NÃO
1;NÃO
1;NÃO
2;SIM
1;NÃO
3;NÃO
1;NÃO
2;NÃO
1;SIM
1;NÃO
1;NÃO
11;NÃO
2;NÃO
1;SIM
1;NÃO
1;NÃO
6;NÃO
3;SIM
2;SIM
6;NÃO
1;NÃO
1;NÃO
1;NÃO
6;NÃO
3;SIM
1;NÃO
1;NÃO
3;NÃO
5;NÃO
1;NÃO
1;NÃO
1;NÃO
11;NÃO
1;NÃO
7;NÃO
4;SIM
3;SIM
1;NÃO
2;SIM
1;SIM
3;NÃO
1;NÃO
1;SIM
1;NÃO
2;SIM
3;SIM
1;SIM
1;SIM
1;NÃO
2;NÃO
1;SIM
1;NÃO
1;NÃO
11;NÃO
1;NÃO
1;NÃO
1;SIM
2;NÃO
2;NÃO
1;SIM
1;SIM
1;SIM
1;NÃO
1;SIM
1;NÃO
1;NÃO
2;NÃO
2;SIM
1;SIM
2;NÃO
1;SIM
1;NÃO
1;SIM
1;NÃO
1;NÃO
1;NÃO
2;SIM
1;NÃO
1;SIM
1;NÃO
1;NÃO
5;NÃO
2;SIM
1;NÃO
1;NÃO
7;SIM
1;NÃO
1;NÃO
2;NÃO
3;SIM
1;NÃO
1;NÃO
2;NÃO
2;SIM
1;NÃO
1;NÃO
1;NÃO
3;NÃO
1;NÃO
3;SIM
3;SIM
2;NÃO
1;NÃO
3;NÃO
1;NÃO
2;NÃO
3;NÃO
3;SIM
1;SIM
1;SIM
1;SIM
2;SIM
1;NÃO
7;SIM
3;NÃO
1;NÃO
1;NÃO
1;NÃO
6;NÃO
2;SIM
2;SIM
1;SIM
1;NÃO
1;SIM
2;SIM
2;NÃO
1;SIM
2;SIM
1;NÃO
1;NÃO
6;NÃO
3;SIM
1;NÃO
1;NÃO
1;NÃO
1;SIM
1;NÃO
1;NÃO
1;SIM
1;NÃO
1;SIM
1;SIM
1;SIM
2;SIM
1;NÃO
1;NÃO
1;NÃO
1;NÃO
1;NÃO
4;NÃO
1;SIM
2;SIM
1;SIM
3;SIM
1;NÃO
1;SIM
1;NÃO
4;SIM
1;SIM
2;SIM
2;NÃO
1;SIM
1;SIM
5;SIM
3;NÃO
1;NÃO
3;NÃO
1;SIM
2;SIM
1;NÃO
3;SIM
3;SIM
1;NÃO
1;NÃO
1;SIM
3;SIM
11;NÃO
1;SIM
1;NÃO
1;SIM
3;SIM
2;SIM
3;SIM
1;NÃO
2;NÃO
3;NÃO
2;SIM
1;NÃO
2;NÃO
1;SIM
1;SIM
1;NÃO
3;SIM
6;SIM
1;NÃO
1;NÃO
1;NÃO
1;SIM
1;SIM
2;SIM
3;SIM
1;NÃO
1;NÃO
1;NÃO
3;NÃO
2;NÃO
1;NÃO
1;NÃO
2;SIM
1;NÃO
1;SIM
1;SIM
6;NÃO
2;NÃO
2;NÃO
1;NÃO
2;NÃO
1;NÃO
2;SIM
1;SIM
1;SIM
1;SIM
2;SIM
2;NÃO
1;NÃO
1;NÃO
5;NÃO
2;SIM
1;SIM
3;NÃO
1;NÃO
1;NÃO
1;SIM
3;SIM
1;NÃO
2;SIM
1;NÃO
1;NÃO
8;NÃO
1;SIM
1;NÃO
1;SIM
4;SIM
1;SIM
3;NÃO
2;SIM
3;SIM
1;NÃO
1;NÃO
1;NÃO
1;NÃO
1;SIM
1;SIM
1;NÃO
2;NÃO
2;NÃO
1;NÃO
2;NÃO
1;NÃO
3;SIM
1;NÃO
5;NÃO
1;NÃO
1;NÃO
2;SIM
1;NÃO
1;SIM
1;NÃO
3;SIM
3;SIM
1;NÃO
3;NÃO
1;NÃO
1;NÃO
1;NÃO
3;NÃO
3;NÃO
1;NÃO
2;SIM
1;SIM
1;NÃO
1;SIM
1;SIM
2;SIM
2;SIM
1;NÃO
2;NÃO
4;SIM
5;NÃO
6;SIM
6;NÃO
1;NÃO
3;SIM
1;NÃO
2;NÃO
1;SIM
1;SIM
3;SIM
2;SIM
1;SIM
4;SIM
1;SIM
4;NÃO
2;NÃO
1;NÃO
2;SIM
1;NÃO
1;SIM
1;NÃO
2;SIM
1;SIM
1;NÃO
1;SIM
1;NÃO
1;NÃO
1;NÃO
1;NÃO
1;NÃO
1;NÃO
1;NÃO
1;NÃO
4;SIM
1;NÃO
1;NÃO
4;SIM
1;SIM
1;NÃO
1;NÃO
2;NÃO
2;NÃO
1;NÃO
2;SIM
8;NÃO
1;NÃO
1;NÃO
1;SIM
2;SIM
5;NÃO
2;SIM
1;NÃO
1;NÃO
3;SIM
2;NÃO
1;NÃO
1;NÃO
1;NÃO
1;NÃO
1;NÃO
2;SIM
1;NÃO
4;NÃO
1;NÃO
1;NÃO
1;NÃO
1;NÃO
1;NÃO
1;SIM
2;NÃO
3;SIM
1;SIM
1;NÃO
1;SIM
1;SIM
1;NÃO
1;SIM
2;SIM
1;NÃO
1;NÃO
1;SIM
1;NÃO
2;SIM
1;NÃO
1;SIM
1;NÃO
1;NÃO
2;SIM
1;NÃO
1;NÃO
1;SIM
1;NÃO
1;NÃO
4;NÃO
3;SIM
1;NÃO
3;NÃO
3;SIM
1;NÃO
3;SIM
1;NÃO
1;SIM
1;NÃO
3;SIM
3;SIM
7;NÃO
7;NÃO
2;SIM
2;NÃO
1;NÃO
2;SIM
1;SIM
3;NÃO
3;SIM
3;SIM
1;NÃO
1;NÃO
1;SIM
1;SIM
1;NÃO
2;SIM
1;NÃO
3;SIM
2;SIM
1;NÃO
1;NÃO
1;NÃO
1;NÃO
1;NÃO
3;NÃO
1;NÃO
5;NÃO
1;NÃO
1;SIM
1;SIM
3;SIM
1;SIM
1;SIM
1;NÃO
1;NÃO
1;SIM
2;SIM
2;NÃO
1;SIM
3;SIM
3;SIM
1;NÃO
1;NÃO
1;NÃO
3;SIM
1;NÃO
3;SIM
1;NÃO
1;NÃO
1;NÃO
2;SIM
1;NÃO
3;NÃO
2;NÃO
3;NÃO
1;SIM
1;NÃO
1;NÃO
2;SIM
4;SIM
1;NÃO
1;NÃO
1;NÃO
1;SIM
2;NÃO
1;NÃO
1;SIM
4;SIM
1;SIM
7;NÃO
1;NÃO
2;SIM
1;NÃO
1;NÃO
4;SIM
3;NÃO
2;NÃO
4;SIM
1;NÃO
2;NÃO
2;SIM
3;SIM
1;NÃO
1;NÃO
1;NÃO
1;NÃO
1;SIM
1;NÃO
1;NÃO
1;SIM
1;NÃO
1;SIM
1;NÃO
6;NÃO
1;SIM
1;NÃO
3;NÃO
6;NÃO
2;NÃO
1;NÃO
1;SIM
6;NÃO
1;SIM
4;SIM
2;SIM
1;NÃO
1;SIM
1;NÃO
1;SIM
1;NÃO
2;SIM
1;NÃO
1;SIM
1;NÃO
3;NÃO
1;NÃO
3;NÃO
1;NÃO
3;NÃO
3;SIM
1;NÃO
1;NÃO
1;NÃO
2;SIM
3;NÃO
1;NÃO
1;NÃO
1;NÃO
2;SIM
3;SIM
2;NÃO
1;NÃO
1;SIM
1;NÃO
1;NÃO
1;NÃO
1;SIM
8;NÃO
2;SIM
1;NÃO
1;SIM
1;NÃO
8;NÃO
3;NÃO
4;NÃO
6;NÃO
1;NÃO
1;NÃO
2;SIM
2;SIM
2;SIM
1;SIM
1;NÃO
1;NÃO
1;NÃO
1;NÃO
1;SIM
3;NÃO
1;NÃO
2;SIM
1;SIM
2;NÃO
1;NÃO
2;NÃO
1;NÃO
1;SIM
1;SIM
1;SIM
3;SIM
1;SIM
1;NÃO
2;SIM
1;NÃO
1;NÃO
1;NÃO
1;SIM
1;SIM
1;NÃO
1;NÃO
2;SIM
2;NÃO
1;NÃO
1;NÃO
2;SIM
1;NÃO
4;SIM
1;SIM
2;NÃO
2;NÃO
1;SIM
1;NÃO
1;NÃO
1;NÃO
1;NÃO
1;NÃO
5;NÃO
1;SIM
1;NÃO
1;NÃO
1;SIM
2;NÃO
5;SIM
2;NÃO
1;SIM
3;NÃO
3;NÃO
1;SIM
2;NÃO
1;NÃO
3;SIM
2;SIM
1;NÃO
1;NÃO
4;SIM
3;SIM
1;NÃO
1;NÃO
1;NÃO
1;SIM
1;NÃO
1;NÃO
1;SIM
4;SIM
1;NÃO
2;SIM
1;NÃO
1;NÃO
2;NÃO
1;NÃO
1;NÃO
1;NÃO
1;NÃO
1;NÃO
5;SIM
1;NÃO
1;NÃO
1;SIM
1;NÃO
2;SIM
1;SIM
2;SIM
1;NÃO
4;NÃO
1;NÃO
1;NÃO
1;SIM
6;NÃO
4;SIM
1;NÃO
1;NÃO
1;NÃO
11;NÃO
1;NÃO
1;NÃO
1;NÃO
1;SIM
1;SIM
1;NÃO
3;NÃO
1;NÃO
3;SIM
4;SIM
2;SIM
1;SIM
1;NÃO
1;NÃO
1;NÃO
1;NÃO
2;SIM
1;NÃO
1;NÃO
1;NÃO
7;NÃO
1;NÃO
1;NÃO
1;NÃO
3;NÃO
1;NÃO
6;NÃO
3;SIM
1;SIM
1;NÃO
2;SIM
6;NÃO
1;NÃO
1;NÃO
3;SIM
1;SIM
1;SIM
2;SIM
3;SIM
1;NÃO
1;NÃO
1;NÃO
3;SIM
1;NÃO
1;NÃO
1;SIM
1;SIM
1;NÃO
1;NÃO
1;SIM
1;NÃO
1;NÃO
1;NÃO
11;NÃO
1;NÃO
2;NÃO
2;SIM
7;NÃO
1;NÃO
3;NÃO
2;SIM
2;NÃO
2;SIM
3;SIM
1;SIM
4;SIM
1;NÃO
3;NÃO
2;NÃO
1;SIM
11;NÃO
1;NÃO
1;SIM
2;SIM
1;NÃO
1;NÃO
3;SIM
1;NÃO
3;SIM
1;NÃO
1;NÃO
2;SIM
1;SIM
1;NÃO
1;NÃO
1;NÃO
2;SIM
2;SIM
1;NÃO
1;NÃO
1;NÃO
1;NÃO
6;NÃO
1;NÃO
1;SIM
4;NÃO
1;SIM
1;NÃO
